Community,Size,Documents
6589,45," jamieson ,  klivans ,  snoek ,  bardenet ,  eggensperger ,  feurer ,  giraud ,  hoos ,  hyperopt ,  leyton ,  metalearning ,  openml ,  rijn ,  smac ,  springenberg ,  torgo ,  tpe ,  vanschoren ,  blackbox ,  biedenkapp ,  falkner ,  lindauer ,  nishihara ,  uration ,  zimmer ,  frazier ,  lobato ,  cma ,  hyperband ,  bandits ,  bohb ,  chronous ,  exhausted ,  jaderberg ,  karnin ,  somekh ,  spearmint ,  yamins ,  donini ,  franceschi ,  maclaurin ,  tpot ,  archambeau ,  gelbart ,  poloczek "
3899,44," alexan ,  dhabi ,  sennrich ,  bostrom ,  wolfgang ,  kris ,  melvin ,  durrett ,  greed ,  yonghui ,  sagot ,  tanja ,  yoshikiyo ,  klingner ,  macherey ,  krikun ,  zaid ,  alyafeai ,  haddow ,  wordpiece ,  tokenizations ,  nishant ,  cotterell ,  gage ,  gouws ,  kazawa ,  kudo ,  kurian ,  pinter ,  riesa ,  rudnick ,  alexandra ,  naoaki ,  okazaki ,  taku ,  dmitrii ,  emelianenko ,  kaisuke ,  kaj ,  mielke ,  provilkov ,  salesky ,  detokenizer ,  sentencepiece "
4571,44," ectation ,  accoun ,  ailable ,  alen ,  amoun ,  arian ,  ciety ,  corresp ,  curv ,  eated ,  eci ,  ecomes ,  ectiv ,  elo ,  enden ,  eren ,  erformed ,  erge ,  ergence ,  erimen ,  gnition ,  hange ,  hastic ,  hec ,  hop ,  hosen ,  kno ,  lter ,  meric ,  olv ,  omp ,  onding ,  onen ,  ortan ,  ossible ,  presen ,  recen ,  tforw ,  tro ,  unkno ,  ximated ,  ximation ,  ypical ,  zik "
5053,34," integra ,  profitable ,  knowled ,  procedings ,  binarized ,  cord ,  summery ,  archaeology ,  nuggets ,  uence ,  ava ,  coll ,  ule ,  hierarc ,  igher ,  compan ,  nowledge ,  thres ,  produc ,  maharashtra ,  intellig ,  ccur ,  developmen ,  ofit ,  uent ,  utili ,  ount ,  apri ,  availabl ,  combinat ,  itory ,  ket ,  repos ,  visua "
4048,33," beg ,  radient ,  admirably ,  breakfast ,  canyon ,  choppy ,  christie ,  cinematography ,  couch ,  dessert ,  detective ,  enjoyable ,  exclamation ,  halts ,  haps ,  hokey ,  kehler ,  littered ,  ogistic ,  outputy ,  ratnaparkhi ,  reminding ,  sloping ,  squashed ,  squashing ,  sucked ,  tential ,  thesigmoid ,  thosen ,  transparently ,  ummary ,  wearing ,  wmin "
2458,32," barrera ,  aloi ,  assent ,  bauder ,  bisquare ,  botta ,  campello ,  erf ,  filho ,  hedging ,  henrique ,  houle ,  inten ,  ionescu ,  labelsy ,  marques ,  mitzenmacher ,  pakdd ,  pref ,  pretability ,  residu ,  sarinnapakorn ,  sdm ,  sdu ,  sharpness ,  shyu ,  sigmoids ,  simul ,  tectors ,  upfal ,  vercruyssen ,  yohai "
9842,31," advert ,  applicat ,  bisects ,  bitrarily ,  borrowers ,  commodate ,  correlat ,  defaul ,  erplane ,  ffect ,  flu ,  hamper ,  heredity ,  hosting ,  interviewers ,  intuitiv ,  misclassifies ,  ndent ,  nomi ,  nonseparable ,  rash ,  recor ,  redictive ,  rmsd ,  salzberg ,  sloped ,  tolerable ,  towns ,  unders ,  victories ,  xid "
5240,30," logr ,  magical ,  awful ,  alinear ,  allw ,  anyc ,  apx ,  asv ,  evade ,  exx ,  fear ,  genuinely ,  givenx ,  hanging ,  inputsx ,  ishing ,  letp ,  modelw ,  objectivef ,  ofpi ,  parametersw ,  quation ,  soy ,  testify ,  thatf ,  thatw ,  thenw ,  theny ,  tiresome ,  wordsw "
12227,25," deliberate ,  muslim ,  unaddressed ,  putra ,  envisaged ,  fibonacci ,  altitude ,  inventing ,  hakim ,  jar ,  hosseini ,  whet ,  metamodel ,  metamodels ,  aulia ,  effortlessly ,  gradu ,  majors ,  masyarakat ,  misclassifications ,  optuna ,  priorities ,  ramasamy ,  teknologi ,  universitas "
18845,23," lmu ,  fam ,  bookstore ,  fim ,  rakesh ,  maximilians ,  bottlenecks ,  ludwig ,  dbn ,  arff ,  brot ,  fpgrowth ,  lexicographically ,  navathe ,  omiecinski ,  savasere ,  dunham ,  fca ,  fcab ,  fcam ,  fcm ,  lehr ,  margaret "
6276,17," ug ,  prasanta ,  bse ,  enrolment ,  gopal ,  icacci ,  jana ,  kishore ,  sahoo ,  sanjaya ,  shaaban ,  shalabi ,  supercomputing ,  tabulation ,  biography ,  enti ,  specialization "
16936,17," dependents ,  edmonds ,  projective ,  parses ,  attachment ,  marneffe ,  nivre ,  parsers ,  treebanks ,  dobj ,  nmod ,  nsubj ,  projectivity ,  universaldependencies ,  uas ,  maltparser ,  mstparser "
8979,16," alban ,  chilamkurthy ,  desmaison ,  devito ,  facebookresearch ,  farhadi ,  junjie ,  kirillov ,  kopf ,  multibox ,  occluded ,  raison ,  redmon ,  retinanet ,  tejani ,  ymin "
3942,15," kiado ,  myung ,  appreciable ,  gelatt ,  repertoire ,  vecchi ,  realistically ,  accumulator ,  assuch ,  browne ,  nyi ,  parameterw ,  vectorw ,  viability ,  whichis "
16526,15," dictio ,  universitaires ,  thierry ,  maurice ,  reformulations ,  gual ,  multilin ,  ehealth ,  haibin ,  miyazaki ,  pancreas ,  ecir ,  morphosyntactic ,  surdeanu ,  medline "
12956,15," minx ,  stepsizes ,  telescoping ,  wotao ,  mikael ,  ruoyu ,  defazio ,  ghadimi ,  netrapalli ,  dmitriy ,  guanghui ,  satyen ,  sgdm ,  tianbao ,  yanli "
6630,14," normalizer ,  thedistance ,  neuralnetworks ,  euclideandistance ,  fromthe ,  isnot ,  usingthe ,  anode ,  distancebetween ,  linewidth ,  ncols ,  subplots ,  themaximum ,  tore "
9302,14," applicant ,  doesnot ,  expressly ,  notethat ,  overconfident ,  recalled ,  thelabels ,  theminimum ,  theother ,  theoutput ,  uploading ,  weassumethat ,  weneed ,  wewill "
17109,13," psaila ,  flocks ,  karypis ,  sarawagi ,  ceri ,  frawley ,  klemettinen ,  koperski ,  morimoto ,  morishita ,  ronkainen ,  tsur ,  tucson "
6216,12," tol ,  cmap ,  colormap ,  contourf ,  explorer ,  iloc ,  ken ,  lary ,  launched ,  reshape ,  suv ,  trai "
3986,11," astronomy ,  toyi ,  debt ,  horses ,  mutations ,  neck ,  oslo ,  pointxi ,  sequencing ,  thecost ,  thexi "
8994,11," benoit ,  brevdo ,  citro ,  harp ,  kudlur ,  manjunath ,  sherry ,  warden ,  wicke ,  xiaoqiang ,  yangqing "
13126,11," tency ,  madry ,  santurkar ,  tsipras ,  papernot ,  bruna ,  carlini ,  defenses ,  makelov ,  perturba ,  vladu "
13745,11," kautz ,  moussa ,  bastian ,  halanobis ,  icmla ,  svdd ,  leather ,  ssim ,  hengel ,  anton ,  reda "
2778,10," paszke ,  antiga ,  bradbury ,  chanan ,  gimelshein ,  killeen ,  lerer ,  massa ,  natalia ,  zeming "
4359,10," counterexample ,  aly ,  iss ,  iw ,  llll ,  maxarg ,  meantime ,  mmm ,  salmon ,  xxs "
7602,10," allan ,  chakrabarti ,  chies ,  globe ,  kifer ,  lavin ,  stamp ,  suman ,  synthetically ,  weikum "
7778,10," ablating ,  blaschko ,  clamp ,  fps ,  hori ,  shelhamer ,  tps ,  triggs ,  xif ,  zontal "
