Doc_ID,Document_Name
0,T1/q-lrt.pdf
1,T1/stat610-09.pdf
2,T1/STAT_513_Lec_06.pdf
3,T1/StudentLecture08.pdf
4,T1/StudentLecture10.pdf
5,"T1/The EM Algorithm and Extensions, Second Edition -- Geoffrey J_ McLachlan, Thriyambakam Krishnan(auth_) -- Wiley Series in Probability and Statistics, -- 9780470191606 -- e9a3209826ad39b437667e2b4df231ba -- Anna’s Archive.pdf"
6,"T1/Theory and Use of the EM Algorithm -- Gupta M_R_, Chen Y_ -- 3048279fbe7a13d5447582c2a812a141 -- Anna’s Archive.pdf"
7,T1/Topic13.pdf
8,T1/Tutorial-LDA-Balakrishnama.pdf
9,T1/Unit-4.pdf
10,T1/Unit-5.pdf
11,T1/volcano plot1.pdf
12,T1/volcano plot2.pdf
13,T1/volcano plot3.pdf
14,T1/volcano plot4.pdf
15,T1/ychap20.pdf
16,T1/zScore-overview.pdf
17,T1/zScores_HANDOUT.pdf
18,T1/Copy of 36624c2682b346b07cab3da416b752a7_MIT18_650F16_Maximum_LE.pdf
19,T1/Copy of 4.pdf
20,T1/Copy of 411notes03.pdf
21,T1/Copy of 411_brewer.pdf
22,T1/Copy of 5.pdf
23,T1/Copy of 50482e8cd4e5e382b6691dd5fe8cba05_MITRES_6_012S18_L02AS.pdf
24,T1/Copy of 6.pdf
25,T1/Copy of 6_2020_03_11!08_42_48_AM.pdf
26,T1/Copy of 7.pdf
27,T1/Copy of 8.pdf
28,T1/Copy of 9.pdf
29,T1/Copy of AI_Com_LDA_Tarek.pdf
30,T1/Copy of Alternative-Method-of-outlier-detection.pdf
31,T1/Copy of Anova.pdf
32,T1/Copy of ANOVA1.pdf
33,T1/Copy of ANOVA2.pdf
34,T1/Copy of 09086816_1_.pdf
35,T1/Copy of 1.pdf
36,T1/Copy of 10-EvaluationMetrics.pdf
37,T1/Copy of 10.pdf
38,T1/Copy of 10037489.pdf
39,T1/Copy of 12em.pdf
40,T1/Copy of 1607.03476v2.pdf
41,T1/Copy of 1811.09763v1.pdf
42,T1/Copy of 1906.02590v1.pdf
43,T1/Copy of 1906.07589v1.pdf
44,T1/Copy of 2.pdf
45,T1/Copy of 200961716_May2019.pdf
46,T1/Copy of 2206.09196v1.pdf
47,T1/Copy of 2206.09504v1.pdf
48,T1/Copy of 2915.pdf
49,T1/Copy of ANOVA4.pdf
50,T1/Copy of ANOVA5.pdf
51,T1/Copy of ANOVA6.pdf
52,T1/Copy of ANOVA7.pdf
53,T1/Copy of b08em-handouts.pdf
54,T1/Copy of BayesTheorem (1).pdf
55,T1/Copy of Chapter 03.pdf
56,T1/Copy of Copy of PDF5.pdf
57,T1/Copy of detecting-outliers-with-iqr.pdf
58,T1/Copy of ece830_fall11_lecture11.pdf
59,T1/Copy of Elhabian_LDA09.pdf
60,T1/Copy of EM-BW.pdf
61,T1/Copy of em.pdf
62,T1/Copy of EM_algorithm.pdf
63,T1/lec16-slides.pdf
64,T1/lect8.pdf
65,T1/Lecture-03.pdf
66,T1/lecture-12-1.pdf
67,T1/lecture-on-zScores.pdf
68,T1/lecture10.pdf
69,T1/Lecture17.pdf
70,T1/Lecture22.pdf
71,T1/Lecture8.pdf
72,T1/lecture_4_em_paper.pdf
73,T1/Likelihood ratios_tutorial.pdf
74,T1/LikelihoodRatioTests.pdf
75,T1/LN20_parameters_mle (1).pdf
76,T1/LN20_parameters_mle.pdf
77,T1/MIN_MAX1(1).pdf
78,T1/MIN_MAX1.pdf
79,T1/MIN_MAX10.pdf
80,T1/MIN_MAX11.pdf
81,T1/MIN_MAX12.pdf
82,T1/MIN_MAX2.pdf
83,T1/MIN_MAX3pdf.pdf
84,T1/MIN_MAX4.pdf
85,T1/MIN_MAX5.pdf
86,T1/MIN_MAX6.pdf
87,T1/MIN_MAX7.pdf
88,T1/MIN_MAX8.pdf
89,T1/MIN_MAX9.pdf
90,T1/ml-em.pdf
91,T1/MLE.pdf
92,T1/MLENotes1a.pdf
93,T1/4.pdf
94,T1/Copy of 03-LRT_ErrorTradeoffs_NP.pdf
95,T1/Copy of 3.pdf
96,T1/Copy of ANOVA3.pdf
97,T1/Copy of EvaluationNew-handout-1-per.pdf
98,T1/lec11lda.pdf
99,T1/monitoring-process-Dispersion-with-iqr.pdf
100,T1/old_IDAPILecture15.pdf
101,T1/pdf5(1).pdf
102,T1/q&pvalue1.pdf
103,T1/Outlier-detection-1.pdf
104,T1/Outlier-detection-methods-models-classification.pdf
105,T1/outlier-detection-methods.pdf
106,T1/p&qvalue2.pdf
107,T1/p2114-song.pdf
108,T1/PDF1 (1).pdf
109,T1/pdf1(1).pdf
110,T1/PDF1.pdf
111,T1/PDF10 (1).pdf
112,T1/pdf10(1).pdf
113,T1/PDF10.pdf
114,T1/PDF2 (1).pdf
115,T1/pdf2(1).pdf
116,T1/PDF2.pdf
117,T1/PDF3 (1).pdf
118,T1/pdf3(1).pdf
119,T1/PDF3.pdf
120,T1/PDF4 (1).pdf
121,T1/pdf4(1).pdf
122,T1/PDF4.pdf
123,T1/PDF5 (1).pdf
124,T1/411notes03.pdf
125,T1/411_brewer.pdf
126,T1/5.pdf
127,T1/50482e8cd4e5e382b6691dd5fe8cba05_MITRES_6_012S18_L02AS.pdf
128,T1/6.pdf
129,T1/6_2020_03_11!08_42_48_AM.pdf
130,T1/7.pdf
131,T1/8.pdf
132,T1/9.pdf
133,T1/AI_Com_LDA_Tarek.pdf
134,T1/Alternative-Method-of-outlier-detection.pdf
135,T1/Anova.pdf
136,T1/ANOVA1.pdf
137,T1/ANOVA2.pdf
138,T1/ANOVA3.pdf
139,T1/ANOVA4.pdf
140,T1/ANOVA5.pdf
141,T1/ANOVA6.pdf
142,T1/ANOVA7.pdf
143,T1/b08em-handouts.pdf
144,T1/BayesTheorem (1).pdf
145,T1/Chapter 03.pdf
146,T1/Copy of Expectation-Maximization-[Frank-Dellaert].pdf
147,T1/Copy of PDF5.pdf
148,T1/detecting-outliers-with-iqr.pdf
149,T1/ece830_fall11_lecture11.pdf
150,T1/Elhabian_LDA09.pdf
151,T1/EM-BW.pdf
152,T1/em.pdf
153,T1/EM_algorithm.pdf
154,T1/EvaluationNew-handout-1-per.pdf
155,T1/Expectation-Maximization-[Frank-Dellaert].pdf
156,T1/exploratory_data_analysis_for_feature_selection_in_machine_learning.pdf
157,T1/fpsyg-12-819854.pdf
158,T1/Hota-ML-LDF.pdf
159,T1/IJCSET14-05-02-064.pdf
160,T1/iqr-calculation.pdf
161,T1/itmconf_I3cs2023_01007.pdf
162,T1/JETIR1903116.pdf
163,T1/L01_02.pdf
164,T1/LDA.pdf
165,T1/lec10.pdf
166,T1/PDF5.pdf
167,T1/PDF6 (1).pdf
168,T1/pdf6(1).pdf
169,T1/PDF6.pdf
170,T1/PDF7 (1).pdf
171,T1/pdf7(1).pdf
172,T1/PDF7.pdf
173,T1/PDF8 (1).pdf
174,T1/pdf8(1).pdf
175,T1/PDF8.pdf
176,T1/PDF9 (1).pdf
177,T1/pdf9(1).pdf
178,T1/PDF9.pdf
179,T1/pdf_1_AIC.pdf
180,T1/pdf_1_En.pdf
181,T1/pdf_1_MI.pdf
182,T1/pdf_2_AIC.pdf
183,T1/pdf_2_En.pdf
184,T1/pdf_2_MI.pdf
185,T1/pdf_3_AIC.pdf
186,T1/pdf_3_En.pdf
187,T1/pdf_3_MI.pdf
188,T1/pdf_4_MI.pdf
189,T1/03-LRT_ErrorTradeoffs_NP.pdf
190,T1/09086816_1_.pdf
191,T1/1.pdf
192,T1/10-EvaluationMetrics.pdf
193,T1/10.pdf
194,T1/10037489.pdf
195,T1/12em.pdf
196,T1/1607.03476v2.pdf
197,T1/1811.09763v1.pdf
198,T1/1906.02590v1.pdf
199,T1/1906.07589v1.pdf
200,T1/2.pdf
201,T1/200961716_May2019.pdf
202,T1/2206.09196v1.pdf
203,T1/2206.09504v1.pdf
204,T1/2915.pdf
205,T1/3.pdf
206,T1/36624c2682b346b07cab3da416b752a7_MIT18_650F16_Maximum_LE.pdf
207,T1/multiple1.pdf
208,T1/multiple2.pdf
209,T1/multiple3.pdf
210,T1/Myung-2003 (1).pdf
211,T1/Myung-2003.pdf
212,T1/Norm1.pdf
213,T1/Norm10.pdf
214,T1/Norm2.pdf
215,T1/Norm3.pdf
216,T1/Norm4.pdf
217,T1/Norm5.pdf
218,T1/Norm6.pdf
219,T1/Norm7.pdf
220,T1/Norm8.pdf
221,T1/Norm9.pdf
222,T1/notes16_EM.pdf
223,T1/o-mle (1).pdf
224,T1/o-mle.pdf
225,T1/ohd.pdf
226,T2/23510023_book8.pdf
227,T2/23510023_book9.pdf
228,T2/23510024_10th.pdf
229,T2/23510024_1st.pdf
230,T2/23510024_2nd.pdf
231,T2/23510024_3rd.pdf
232,T2/23510024_4th.pdf
233,T2/23510024_5th.pdf
234,T2/23510024_6th.pdf
235,T2/23510024_7th.pdf
236,T2/23510024_8th.pdf
237,T2/23510024_9th.pdf
238,T2/23510025_10th.pdf
239,T2/23510025_1st.pdf
240,T2/23510025_2nd.pdf
241,T2/23510025_3rd.pdf
242,T2/23510025_4th.pdf
243,T2/23510025_5th.pdf
244,T2/23510025_6th.pdf
245,T2/23510025_7th.pdf
246,T2/23510025_8th.pdf
247,T2/23510025_9th.pdf
248,T2/23510019_3rd.pdf
249,T2/23510019_4th.pdf
