Doc_ID,Top_Terms
0,"survives, bee, owing, xin, irrespective"
1,"ssw, msw, noncentrality, msa, withy"
2,"abline, parabola, maximizer, ylim, calibrate"
3,"dyk, cram, informatio, iscussion, purdue"
4,"conditio, fontsize, sectio, emi, baye"
5,"dyk, aarts, accompany, aitken, alexan"
6,"dyk, alternated, folk, meme, petrie"
7,"guilty, innocent, screens, ghost, charged"
8,"fukunaga, regio, havel, hardy, forl"
9,"distributive, undertake, colours, defectives, suffering"
10,"alternated, risen, undergoing, airport, alteration"
11,"afore, bubbles, cough, esc, inset"
12,"npc, connectors, wickham, roxygennote, volcano"
13,"xlsx, dsp, svg, fonts, loads"
14,"biopsy, cylindrical, ggplot, gument, pvalues"
15,"scatters, setosa, semidefinite, universidade, polytechnic"
16,"pie, quotient, regards, aka, scored"
17,"mz, traveled, obtainable, earned, miles"
18,"ocw, opencourseware, poiss, interlude, lln"
19,"interlude, functionlogit, equivalents, statlog, toa"
20,"messier, ferentiable, heated, immedi, mckean"
21,"lifetimes, bayesians, biosci, buses, captain"
22,"choppy, christie, cinematography, couch, hokey"
23,"ocw, opencourseware, occ, flying, occu"
24,"hackernoon, theprobability, democrat, taller, lived"
25,"openings, printf, stdio, newmax, newmin"
26,"toyi, pointxi, thecost, withyi, labelsyi"
27,"bisects, bitrarily, borrowers, correlat, cylinders"
28,"yilog, ypred, ytrue, harshly, odisha"
29,"arinen, beni, frankfurt, hassanien, honda"
30,"ctively, equivariant, erefore, ernative, obt"
31,"martial, cereal, therapies, datta, lsd"
32,"deem, nematode, planting, reminders, smax"
33,"ssw, planting, awith, betweenf, complaints"
34,"qg, moghaddam, adma, asgd, exj"
35,"colormap, contourf, suv, iloc, meshgrid"
36,"inconsequential, ret, punishes, jaime, abysmal"
37,"toussaint, surprises, logq, nll, huffman"
38,"abnormally, chies, cordeiro, ilof, kifer"
39,"eliho, ame, climbing, ete, logl"
40,"ablating, berkeleyvision, blaschko, clamp, envelopes"
41,"afore, bto, cessive, culotta, lun"
42,"hassanien, aydin, berghe, crowley, ernie"
43,"cloth, scriptor, radlinski, schwing, arandjelovic"
44,"logr, betweenf, functiony, alculating, alculation"
45,"arisen, glmms, huberty, krzanowski, longitudi"
46,"krishnaiah, larson, risen, marron, blems"
47,"amax, nms, alculating, alculation, alch"
48,"ectation, totically, ctively, eliho, accoun"
49,"biostatistical, cautioned, confirmation, ameri, ankle"
50,"bacterial, nationality, randomisation, ascribable, aptitude"
51,"ssm, yik, bulbs, photocopying, beds"
52,"furnish, potato, xih, ascribable, salesmen"
53,"intracluster, ameters, arameters, likelihoo, petr"
54,"transmitter, americans, prison, smokers, gallup"
55,"cursory, degroot, poiss, bayesians, esian"
56,"adma, schu, aloi, bauder, bisquare"
57,"inadequacies, absorption, confidentiality, manish, peculiarity"
58,"nowak, hth, pfa, yty, coates"
59,"xwhere, thewithin, iss, llll, maxarg"
60,"meme, nucleotide, mers, elicitation, unsolvable"
61,"gvu, logf, computep, letz, wik"
62,"ared, demp, eiss, hardie, secant"
63,"approximator, lnp, variablez, csc, grosse"
64,"tangency, totically, slutsky, ante, distinctiveness"
65,"crashed, crashing, msu, retirement, defectives"
66,"worried, enemy, vecchi, alvarez, decomposable"
67,"shore, swim, sanders, figured, thankfully"
68,"theprobability, objections, storey, wecan, digression"
69,"iyi, wake, noninformative, critics, mators"
70,"nator, autumn, locus, hardy, antigen"
71,"llll, xxs, classy, olga, mda"
72,"petrie, segal, heredity, nucleotide, keller"
73,"distractor, albers, categorise, kiado, murder"
74,"logb, flipped, loga, deviances, gg"
75,"likelihoodfunction, pxi, trickier, practicing, lisa"
76,"likelihoodfunction, pxi, trickier, practicing, lisa"
77,"openings, printf, stdio, newmax, newmin"
78,"openings, printf, stdio, newmax, newmin"
79,"normalising, eir, amidst, auroc, incentives"
80,"logr, biopsy, dara, ecol, pada"
81,"larose, burlington, chloride, cortez, sherlock"
82,"bse, enrolment, gopal, icacci, karthikeyan"
83,"bse, enrolment, gopal, icacci, shaaban"
84,"nonpositive, pablo, amanda, yeo, cookbook"
85,"wolfinger, usp, babenko, henrique, keller"
86,"collocations, dives, empowers, inaccurately, niche"
87,"exponents, suppresses, infrequently, reflection, kmeans"
88,"hinkley, approvals, artifi, fiers, impure"
89,"maxa, mina, yong, youth, singleton"
90,"instagram, dubey, governing, ig, algori"
91,"logf, sanford, zeger, distributive, slutsky"
92,"irls, ugly, berndt, lnl, reparameterization"
93,"interlude, functionlogit, equivalents, statlog, toa"
94,"nowak, cosmic, rnp, terrestrial, xts"
95,"doesnot, thelabels, theother, theoutput, uploading"
96,"srss, flinger, notz, mastered, mindrila"
97,"hides, graded, critique, prec, ndcg"
98,"thewithin, froms, guangliang, faraway, thetotal"
99,"furnish, miranda, reprinted, uy, zhejiang"
100,"generalises, byn, maximises, ordinates, ellipses"
101,"dillon, elliptically, empire, priced, tangency"
102,"tangency, landing, storey, guilty, innocent"
103,"mislabeling, jordon, blur, grubb, telecom"
104,"thanr, vercruyssen, manish, thedistance, keller"
105,"discerned, unification, maya, suspicions, moa"
106,"pvalues, storey, borg, institutes, bass"
107,"leptokurtic, figur, ameri, affordable, bartz"
108,"larson, metabolic, maxiter, lacked, patcog"
109,"wavelengths, nir, dimensionless, unstandardized, loadings"
110,"xwhere, keerthi, maining, niche, impure"
111,"moustafa, arn, atif, dogan, films"
112,"pentland, axi, watches, ism, jane"
113,"eterized, horwood, agglomeration, backed, complementarity"
114,"kute, libreoffice, mitu, mituskillologies, skillologies"
115,"svds, modelin, northwest, skinny, zeyuan"
116,"attenuation, consequential, complaints, attainment, overwhelmed"
117,"bacterial, sist, soni, bashir, iosr"
118,"distributive, visualising, setosa, generalises, normalising"
119,"aitken, suppressed, bristol, clo, figuration"
120,"mckelvey, bedrooms, exponentiated, ideology, jakulin"
121,"multiway, schafer, mmm, dislike, magazines"
122,"welsh, equivariant, dms, erg, infinitesimal"
123,"unintended, taxes, motive, recurrently, subclusters"
124,"messier, ferentiable, heated, immedi, mckean"
125,"lifetimes, bayesians, biosci, buses, captain"
126,"choppy, christie, cinematography, couch, hokey"
127,"ocw, opencourseware, occ, flying, occu"
128,"hackernoon, theprobability, democrat, taller, lived"
129,"openings, printf, stdio, newmax, newmin"
130,"toyi, pointxi, thecost, withyi, labelsyi"
131,"bisects, bitrarily, borrowers, correlat, cylinders"
132,"yilog, ypred, ytrue, harshly, odisha"
133,"arinen, beni, frankfurt, hassanien, honda"
134,"ctively, equivariant, erefore, ernative, obt"
135,"martial, cereal, therapies, datta, lsd"
136,"deem, nematode, planting, reminders, smax"
137,"ssw, planting, awith, betweenf, complaints"
138,"srss, flinger, notz, mastered, mindrila"
139,"biostatistical, cautioned, confirmation, ameri, ankle"
140,"bacterial, nationality, randomisation, ascribable, aptitude"
141,"ssm, yik, bulbs, photocopying, beds"
142,"furnish, potato, xih, ascribable, salesmen"
143,"intracluster, ameters, arameters, likelihoo, petr"
144,"transmitter, americans, prison, smokers, gallup"
145,"cursory, degroot, poiss, bayesians, esian"
146,"gvu, demp, dellaert, ster, incom"
147,"adma, schu, aloi, bauder, bisquare"
148,"inadequacies, absorption, confidentiality, manish, peculiarity"
149,"nowak, hth, pfa, yty, coates"
150,"xwhere, thewithin, iss, llll, maxarg"
151,"meme, nucleotide, mers, elicitation, unsolvable"
152,"gvu, logf, computep, letz, wik"
153,"ared, demp, eiss, hardie, secant"
154,"hides, graded, critique, prec, ndcg"
155,"gvu, demp, dellaert, ster, incom"
156,"nationality, seaborn, exec, historic, nationalities"
157,"kannan, bauder, undisclosed, aoms, comme"
158,"magenta, singly, wtx, hyderabad, pseudoinverse"
159,"ators, bmj, fictional, indic, hodges"
160,"ql, edi, mf, mol, iqr"
161,"seidel, irreversible, butterworth, downey, filt"
162,"undisclosed, howell, fictional, judd, larized"
163,"folk, suburban, ono, vaccine, zw"
164,"scatters, ycan, dfg, grace, criminant"
165,"scrutiny, autumn, lln, hardy, materially"
166,"adma, schu, aloi, bauder, bisquare"
167,"thedistance, minmaxscaler, usingthe, adecision, anode"
168,"wellesley, blems, samplings, sherlock, oise"
169,"brownlee, pointxi, xid, zomeren, marron"
170,"conditio, arisen, franco, yew, cylindrical"
171,"awith, eigenval, ato, inrn, pdp"
172,"sectio, geert, ernative, toussaint, esian"
173,"defensive, leaning, simoudis, unprocessed, xss"
174,"vandewalle, automat, congruence, ptb, qty"
175,"ablating, babenko, junjie, aloi, pablo"
176,"thedistance, minmaxscaler, usingthe, adecision, anode"
177,"nurse, bananas, cans, dale, hyperspace"
178,"warranties, auroc, inthissection, usingthe, confusions"
179,"fictional, hth, tru, narrowly, forwards"
180,"thanr, renyi, amined, degli, plementation"
181,"leaking, cryptographic, internship, securely, semiconductor"
182,"mendelson, splice, thyroid, zien, coinciding"
183,"lnp, landing, ipi, theerror, thekth"
184,"tistically, narayan, securely, andz, bialek"
